,id,student_id,student_class_id,class_grade,grade_diff,adaptive_mode,mastered,delay_days,work_delay_in_day,ms,class_performance,class_assignment_performance,skill_id,prereq_skill_id,prereq_easiness,prereq_performance,easiness,right,wrong,correct,grade_diff_2,ms_bin
3083,451445,229866,31487,8,0,0,0,7,10,2,0.70297029703,0.684210526316,259,213,0.614521646375,1.0,0.499724416682,0,2,1,0.0,0.0
3095,451449,227781,31487,8,0,0,0,7,1,5,0.70297029703,0.684210526316,259,162,0.493023590334,0.388888888889,0.546487603306,1,3,0,0.0,0.0
3096,451449,227781,31487,8,0,0,0,7,1,5,0.70297029703,0.684210526316,259,213,0.614521646375,0.444444444444,0.546487603306,1,3,0,0.0,0.0
3137,451462,227698,31487,8,0,0,0,7,16,5,0.70297029703,0.684210526316,259,162,0.493023590334,0.384615384615,0.640229885057,3,1,0,0.0,0.0
3138,451462,227698,31487,8,0,0,0,7,16,5,0.70297029703,0.684210526316,259,213,0.614521646375,0.692307692308,0.640229885057,3,1,0,0.0,0.0
3145,451464,229866,31487,8,0,0,0,7,10,1,0.70297029703,0.368421052632,259,213,0.614521646375,1.0,0.691304347826,0,1,0,0.0,0.0
3165,451471,227688,31487,8,0,0,0,7,72,2,0.70297029703,0.368421052632,259,162,0.493023590334,0.714285714286,0.355172413793,1,1,0,0.0,0.0
3166,451471,227688,31487,8,0,0,0,7,72,2,0.70297029703,0.368421052632,259,213,0.614521646375,0.714285714286,0.355172413793,1,1,0,0.0,0.0
3185,451477,230413,31487,8,0,0,0,7,14,11,0.70297029703,0.368421052632,259,213,0.614521646375,0.636363636364,0.696428571429,2,8,1,0.0,0.0
3191,451479,227709,31487,8,0,0,0,7,8,9,0.70297029703,0.368421052632,259,162,0.493023590334,0.294117647059,0.697508896797,5,3,0,0.0,0.0
3192,451479,227709,31487,8,0,0,0,7,8,9,0.70297029703,0.368421052632,259,213,0.614521646375,0.857142857143,0.697508896797,5,3,0,0.0,0.0
4605,482923,228073,31259,8,0,0,0,7,33,2,0.625462229266,0.540983606557,217,212,0.689464202309,0.444444444444,0.600167644593,1,1,0,0.0,0.0
4608,482926,227090,31259,8,0,0,0,7,29,19,0.625462229266,0.540983606557,217,212,0.689464202309,0.307692307692,0.847141939627,7,12,1,0.0,0.0
4619,482936,230301,31259,8,0,0,0,7,15,13,0.625462229266,0.540983606557,217,212,0.761708718868,0.75,0.611282843895,3,10,0,0.0,0.0
4624,482943,227787,31259,8,0,0,0,7,22,4,0.625462229266,0.540983606557,217,212,0.689464202309,0.0769230769231,0.450034458994,2,2,0,0.0,0.0
4627,482944,229193,31259,8,0,0,0,7,37,1,0.625462229266,0.540983606557,217,212,0.689464202309,0.8,0.725163161711,0,1,0,0.0,0.0
4673,482986,227791,31259,8,0,0,0,7,15,2,0.625462229266,0.540983606557,217,212,0.689464202309,0.833333333333,0.430511182109,0,2,0,0.0,0.0
4712,483023,230249,31259,8,0,0,0,7,22,10,0.625462229266,0.491803278689,217,212,0.761708718868,0.5,0.721577726218,3,7,0,0.0,0.0
4716,483026,230301,31259,8,0,0,0,7,15,3,0.625462229266,0.491803278689,217,212,0.761708718868,0.75,0.547491039427,0,3,1,0.0,0.0
4740,483054,229899,31259,8,0,0,0,7,128,4,0.625462229266,0.491803278689,217,212,0.761708718868,0.714285714286,0.544853635505,1,3,0,0.0,0.0
4765,483076,227791,31259,8,0,0,0,7,12,1,0.625462229266,0.491803278689,217,212,0.689464202309,0.833333333333,0.66230121609,0,1,0,0.0,0.0
5028,490950,227771,31488,8,0,0,0,7,15,1,0.684806034483,0.573770491803,213,162,0.493023590334,0.6875,0.458417849899,0,1,0,0.0,0.0
5030,490959,227101,31488,8,0,0,0,7,16,1,0.684806034483,0.573770491803,213,162,0.783519807573,0.666666666667,0.773333333333,0,1,1,0.0,0.0
